Station,Model,Location_Intercept,Location_Slope,Scale_Intercept,Scale_Slope,Shape,Location_SE_Intercept,Location_SE_Slope,Scale_SE_Intercept,Scale_SE_Slope,Shape_SE,Location_Slope_Significant,Shape_Significant,Scale_Slope_Significant,start_date,end_date,num_years
Avasjö-Borgafjäll D,Stationary,29.749464559105085,NA,7.17229947848495,NA,NA,0.9665015714227312,NA,0.7376957247397655,NA,NA,NA,NA,NA,1963-10-01,2024-09-30,60.99931553730322
Avasjö-Borgafjäll D,Exp model,27.130613217139654,0.08825178912197691,1.9459613378895633,6.215337303675763e-6,NA,1.9094436854332517,0.05440764537697522,0.20471453378916526,0.00559432877182661,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Avasjö-Borgafjäll D,Linear model,27.130605588121696,0.08825242186372172,7.000500892859108,3.8812285608240854e-5,NA,1.908394683976734,0.0543601827128739,1.4165046704923834,0.03857801267573983,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Finnbacka D,Stationary,28.331845938827758,NA,7.955522526220208,NA,NA,1.0686052726978312,NA,0.8181210821855196,NA,NA,NA,NA,NA,1963-10-01,2024-09-30,60.99931553730322
Finnbacka D,Exp model,32.21151824380808,-0.12092018180212774,1.9981999886705535,8.987191582037989e-4,NA,2.0271337318820075,0.05790344551390424,0.21534370131574823,0.006302320848395018,NA,TRUE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Finnbacka D,Linear model,32.20042064421365,-0.12055937831257625,7.346200050948855,0.007714108543316923,NA,2.0357518900524045,0.05833016094960525,1.6850090079519056,0.05075826728636949,NA,TRUE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Gendalen,Stationary,29.400001060337868,NA,7.616694633903972,NA,NA,1.0264219017109069,NA,0.7840326928937871,NA,NA,NA,NA,NA,1963-10-01,2024-09-30,60.99931553730322
Gendalen,Exp model,27.08433831918794,0.07803452139363752,1.9254604953266585,0.002888853228061523,NA,1.9313080354852221,0.057549706963741815,0.20705004753927703,0.005561912457675606,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Gendalen,Linear model,27.09189015232034,0.07779528927980132,6.859040288934592,0.021062526764486233,NA,1.929314070479057,0.057391930330911715,1.4629974800144248,0.04091997495250369,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Grönliden,Stationary,28.163865084567824,NA,8.011133906325155,NA,NA,1.0748982451652758,NA,0.8267571774349626,NA,NA,NA,NA,NA,1963-10-01,2024-09-30,60.99931553730322
Grönliden,Exp model,29.1350649445152,-0.0315540354581097,2.137636364300572,-0.0018995539847604995,NA,2.2063756220399457,0.060864507345776246,0.21370136692250316,0.005877512247715898,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Grönliden,Linear model,29.135918442832924,-0.03158181789522776,8.46744564415505,-0.015111489331099995,NA,2.2077918641174685,0.060927631111236634,1.7570701208976491,0.04706932306067255,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Hallstaberg,Stationary,28.060217848980784,NA,9.184608379949909,NA,NA,1.2228913371675139,NA,0.9728779175406891,NA,NA,NA,NA,NA,1963-10-01,2024-09-30,60.99931553730322
Hallstaberg,Exp model,28.16697062522993,-0.00285878257798139,2.3591784358556125,-0.004808286226695384,NA,2.635454270826755,0.06945281953488108,0.22946637000645498,0.0066378718118237385,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
Hallstaberg,Linear model,28.233670834231035,-0.00585226046702178,11.016355517816649,-0.058954548355273174,NA,2.7125553445767006,0.07026085361005668,2.5318057331324777,0.06824349510750326,NA,FALSE,NA,FALSE,1963-10-01,2024-09-30,60.99931553730322
