Station,Model,Location_Intercept,Location_Slope,Scale_Intercept,Scale_Slope,Shape,Location_SE_Intercept,Location_SE_Slope,Scale_SE_Intercept,Scale_SE_Slope,Shape_SE,Location_Slope_Significant,Shape_Significant,Scale_Slope_Significant,num_years,start_date,end_date
Avasjö-Borgafjäll D,Stationary,29.749464559105085,NA,7.17229947848495,NA,NA,0.9665015714227312,NA,0.7376957247397655,NA,NA,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Avasjö-Borgafjäll D,Exp model,29.839953582101202,NA,2.023260685227471,-0.001744466726275033,NA,1.0091370271697637,NA,0.20295156765582795,0.005677746689060667,NA,NA,NA,FALSE,60.99931553730322,1963-10-01,2024-09-30
Avasjö-Borgafjäll D,Linear model,29.836173604174306,NA,7.536977253542806,-0.011892912258303912,NA,1.0086428918253987,NA,1.4658158454966732,0.039732410097565486,NA,NA,NA,FALSE,60.99931553730322,1963-10-01,2024-09-30
Finnbacka D,Stationary,28.331845938827758,NA,7.955522526220208,NA,NA,1.0686052726978312,NA,0.8181210821855196,NA,NA,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Finnbacka D,Exp model,28.739021439055342,NA,1.9039989041407732,0.005363895419177205,NA,1.1505977436572263,NA,0.21921871845192364,0.0063082667950126545,NA,NA,NA,FALSE,60.99931553730322,1963-10-01,2024-09-30
Finnbacka D,Linear model,28.768996374111744,NA,6.535161553891391,0.04617829659027194,NA,1.148207246933549,NA,1.6195372319719892,0.05134797322763019,NA,NA,NA,FALSE,60.99931553730322,1963-10-01,2024-09-30
Gendalen,Stationary,29.400001060337868,NA,7.616694633903972,NA,NA,1.0264219017109069,NA,0.7840326928937871,NA,NA,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Gendalen,Exp model,29.369260113992272,NA,2.0098237100888015,6.45776854126857e-4,NA,1.0575076658031302,NA,0.20046715497403508,0.005441823413281545,NA,NA,NA,FALSE,60.99931553730322,1963-10-01,2024-09-30
Gendalen,Linear model,29.370229794943754,NA,7.465698217370174,0.0047681984869654016,NA,1.056775408628235,NA,1.4937845902777478,0.040812436487394195,NA,NA,NA,FALSE,60.99931553730322,1963-10-01,2024-09-30
Grönliden,Stationary,28.163865084567824,NA,8.011133906325155,NA,NA,1.0748982451652758,NA,0.8267571774349626,NA,NA,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Grönliden,Exp model,28.145669527350325,NA,2.109334863112392,-8.928052204602009e-4,NA,1.0825540790351513,NA,0.20513119462530666,0.0055074290144731895,NA,NA,NA,FALSE,60.99931553730322,1963-10-01,2024-09-30
Grönliden,Linear model,28.145905020049526,NA,8.236962527460534,-0.007042550397669945,NA,1.0823395811293652,NA,1.6590902084944845,0.043932057311133955,NA,NA,NA,FALSE,60.99931553730322,1963-10-01,2024-09-30
Hallstaberg,Stationary,28.060217848980784,NA,9.184608379949909,NA,NA,1.2228913371675139,NA,0.9728779175406891,NA,NA,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Hallstaberg,Exp model,28.070347984987297,NA,2.356207474308114,-0.004715744920373024,NA,1.2066309271064888,NA,0.2182870973472985,0.006256070932830583,NA,NA,NA,FALSE,60.99931553730322,1963-10-01,2024-09-30
Hallstaberg,Linear model,28.05939253287014,NA,10.790260443505483,-0.052755395960394726,NA,1.202981725643071,NA,2.337641667293647,0.06304460719515521,NA,NA,NA,FALSE,60.99931553730322,1963-10-01,2024-09-30
Hanö A,Stationary,24.415538211409654,NA,8.248981482790033,NA,NA,1.1042595374137856,NA,0.8606928270548897,NA,NA,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Hanö A,Exp model,24.280242304705823,NA,2.0336681046144083,0.002519400717437903,NA,1.154629824401533,NA,0.20851111771840591,0.0060640475696780724,NA,NA,NA,FALSE,60.99931553730322,1963-10-01,2024-09-30
Hanö A,Linear model,24.267931083360487,NA,7.586567500268987,0.02214677544527815,NA,1.1614900630077087,NA,1.6715181989667807,0.05096637364360904,NA,NA,NA,FALSE,60.99931553730322,1963-10-01,2024-09-30
Heden,Stationary,35.73344325407689,NA,8.197664152518609,NA,NA,1.1071163316843018,NA,0.8172550294824895,NA,NA,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Heden,Exp model,35.473723700622486,NA,1.973993281839112,0.004232640735400269,NA,1.1707374424673,NA,0.22181193964368853,0.0066280862090388176,NA,NA,NA,FALSE,60.99931553730322,1963-10-01,2024-09-30
Heden,Linear model,35.41584555313007,NA,6.930450153045162,0.042413191305107595,NA,1.1812424425193386,NA,1.828331926093796,0.05999841537433473,NA,NA,NA,FALSE,60.99931553730322,1963-10-01,2024-09-30
Hyltan,Stationary,27.247172872148568,NA,8.345570717962287,NA,NA,1.1174088447385697,NA,0.8819508032659137,NA,NA,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Hyltan,Exp model,26.33141271887747,NA,1.7093467125779644,0.012649636798188216,NA,1.1276104144366994,NA,0.23030081915825132,0.006725994342836676,NA,NA,NA,FALSE,60.99931553730322,1963-10-01,2024-09-30
Hyltan,Linear model,26.285929770048316,NA,5.094460742747224,0.1060158494060265,NA,1.120689180694633,NA,1.4737250094635828,0.05336926320946181,NA,NA,NA,TRUE,60.99931553730322,1963-10-01,2024-09-30
Härnösand,Stationary,37.639336177303605,NA,9.757634021403438,NA,NA,1.3160330637745938,NA,0.9871330510880151,NA,NA,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Härnösand,Exp model,37.63496307599925,NA,2.276349880821744,5.616580339907977e-5,NA,1.38034321916812,NA,0.19155347620143814,0.005379145034578219,NA,NA,NA,FALSE,60.99931553730322,1963-10-01,2024-09-30
Härnösand,Linear model,37.635050663282136,NA,9.741185239851005,5.418779504418429e-4,NA,1.379468676042365,NA,1.853946861050198,0.051988863606387915,NA,NA,NA,FALSE,60.99931553730322,1963-10-01,2024-09-30
Håvelund,Stationary,31.266025525538595,NA,7.469925313266453,NA,NA,1.0078346948027508,NA,0.7429622007869134,NA,NA,NA,NA,NA,60.99931553730322,1963-10-01,2024-09-30
Håvelund,Exp model,31.187896144241684,NA,1.9700996046983694,0.001377214245774496,NA,1.044768853817589,NA,0.1663371377038756,0.004593073604579997,NA,NA,NA,FALSE,60.99931553730322,1963-10-01,2024-09-30
