Station,Dataset,Type,Model,Scale_Intercept,Scale_SE_Intercept,Scale_Slope,Scale_SE_Slope,Shape,Shape_SE,Trend_lr_pval,Shape_lr_pval,First_Observation_Date,Last_Observation_Date,Elapsed_Years,Significant_Trend,Significant_Shape
Avasjö-Borgafjäll D,Original,GP,Stationary,7.938580623402267,1.1182928281233653,NA,NA,-0.06768155809128772,0.10646891654288415,NA,NA,1957-07-01,2024-11-30,67.41683778234086,NA,NA
Avasjö-Borgafjäll D,Original,Exponential,Stationary,7.43076923076923,0.6869748193443038,NA,NA,NA,NA,NA,NA,1957-07-01,2024-11-30,67.41683778234086,NA,NA
Avasjö-Borgafjäll D,Original,GP,Multiplicative,2.102889942636489,0.21632830019999436,-8.618384895155705e-4,0.0046102578572856335,-0.0666636555097726,0.10691579584816309,0.8515776823193281,NA,1957-07-01,2024-11-30,67.41683778234086,FALSE,NA
Avasjö-Borgafjäll D,Original,Exponential,Multiplicative,2.046047514941593,0.20726799009862568,-0.0010830022232619922,0.004943581266735702,NA,NA,0.8266037256963903,0.5507742020420107,1957-07-01,2024-11-30,67.41683778234086,FALSE,FALSE
Borås,Original,GP,Stationary,6.908858869057633,0.9343012628369466,NA,NA,3.399720312500002e-8,0.09685243536506821,NA,NA,1962-07-01,2024-11-30,62.417522245037645,NA,NA
Borås,Original,Exponential,Stationary,6.880180180180181,0.6530377597154348,NA,NA,NA,NA,NA,NA,1962-07-01,2024-11-30,62.417522245037645,NA,NA
Borås,Original,GP,Multiplicative,2.144255613594872,0.2396193467707615,-0.005898202727299971,0.0054576666675171725,-0.03193669524663832,0.1000443159765082,0.2915822253049023,NA,1962-07-01,2024-11-30,62.417522245037645,FALSE,NA
Borås,Original,Exponential,Multiplicative,2.100866137892071,0.1994008940022324,-0.005526624266480925,0.005480180082096601,NA,NA,0.3138584889150199,0.7566656746986515,1962-07-01,2024-11-30,62.417522245037645,FALSE,FALSE
Finnbacka D,Original,GP,Stationary,8.358116692129284,1.0949639884503084,NA,NA,0.022479619325196647,0.08793788610055069,NA,NA,1962-12-26,2024-11-30,61.93018480492813,NA,NA
Finnbacka D,Original,Exponential,Stationary,8.550943396226415,0.8305410117781237,NA,NA,NA,NA,NA,NA,1962-12-26,2024-11-30,61.93018480492813,NA,NA
Finnbacka D,Original,GP,Multiplicative,2.2889538699466763,0.20960252532814355,-0.006400884610447158,0.006300688351281948,0.03789243332308949,0.08851071039652686,0.3072866318276409,NA,1962-12-26,2024-11-30,61.93018480492813,FALSE,NA
Finnbacka D,Original,Exponential,Multiplicative,2.309073150018462,0.20005658390406098,-0.005756314339744032,0.006015488075640564,NA,NA,0.3406375407478067,0.6515568960104855,1962-12-26,2024-11-30,61.93018480492813,FALSE,FALSE
Gendalen,Original,GP,Stationary,8.02272734998913,1.2860210554946174,NA,NA,1.4232312500000008e-7,0.13696523778644995,NA,NA,1962-10-01,2024-11-30,62.16563997262149,NA,NA
Gendalen,Original,Exponential,Stationary,8.305252252252135,0.7882996248960495,NA,NA,NA,NA,NA,NA,1962-10-01,2024-11-30,62.16563997262149,NA,NA
Gendalen,Original,GP,Multiplicative,2.2881771152044577,0.22408551333565913,-0.002642724882419106,0.004750675727100186,-0.0830627131578464,0.13215382688103122,0.3695775808720029,NA,1962-10-01,2024-11-30,62.16563997262149,FALSE,NA
Gendalen,Original,Exponential,Multiplicative,2.212878111077142,0.20037549484706166,-0.0028199514685615097,0.005109119549145717,NA,NA,0.5805205934650163,0.5456411822260708,1962-10-01,2024-11-30,62.16563997262149,FALSE,FALSE
Grönliden,Original,GP,Stationary,6.677177707578374,0.9572164629266512,NA,NA,0.1883224627843065,0.1118616417578974,NA,NA,1955-11-13,2024-11-30,69.0485968514716,NA,NA
Grönliden,Original,Exponential,Stationary,8.198333333333332,0.7484019821965683,NA,NA,NA,NA,NA,NA,1955-11-13,2024-11-30,69.0485968514716,NA,NA
Grönliden,Original,GP,Multiplicative,2.4177619614290853,0.257947637335243,-0.012130093733505562,0.00524661659035076,0.12799355778907945,0.11445622941623318,0.02429871254436723,NA,1955-11-13,2024-11-30,69.0485968514716,TRUE,NA
Grönliden,Original,Exponential,Multiplicative,2.5696525565294372,0.20393037426331723,-0.012573358357264657,0.004607589145586401,NA,NA,0.005825314969625625,0.21636443782157608,1955-11-13,2024-11-30,69.0485968514716,TRUE,FALSE
Hallstaberg,Original,GP,Stationary,7.217250919485411,0.9394909268422792,NA,NA,0.20326390293588278,0.09354634764796534,NA,NA,1959-08-01,2024-11-30,65.33333333333333,NA,NA
